Data,Close,Recompensa,RecompensaAcumulada,Estado,Retorno,RetornoAcumulado
2011-12-15,21.25,0.0746,1322.2894,2.0,0.0095,0.227
2011-12-16,21.01,0.0841,1329.7463,2.0,0.0103,0.2365
2011-12-19,20.92,0.0944,1338.1516,2.0,0.0039,0.2468
2011-12-20,21.88,0.0983,1347.5912,2.0,-0.0414,0.2507
2011-12-21,21.61,0.0569,1357.4188,2.0,0.0116,0.2093
2011-12-22,21.92,0.0685,1363.1084,2.0,-0.0134,0.221
2011-12-23,22.03,0.0552,1369.9619,2.0,-0.0047,0.2076
2011-12-26,21.92,0.0504,1375.4791,2.0,0.0047,0.2029
2011-12-27,21.91,0.0552,1380.5222,2.0,0.0004,0.2076
2011-12-28,21.0,0.0,1386.0396,3.0,-0.0415,0.208
2011-12-29,21.2,-0.0415,1386.0396,1.0,0.0091,0.1665
